tweet_id,created_at,username,display_name,tweet_text,likes,retweets,replies,sentiment,hashtags,mentions
1001,2025-12-01 08:15:00,@powderhound_co,Mike the Skier,"First tracks on Summit Express this morning! 🎿❄️ Fresh powder and zero wait times. This is why I got the season pass! #SkiLife #PowderDay",247,45,12,positive,"#SkiLife #PowderDay",
1002,2025-12-01 09:30:00,@ski_mom_jen,Jennifer Walsh,"Kids had their first ski lesson today at @SkiResortCO. Instructors were AMAZING with the little ones. Worth every penny! 🌟",189,28,8,positive,,@SkiResortCO
1003,2025-12-01 11:45:00,@angry_skier99,Dave Thompson,"45 minute wait at the Summit Gondola. This is ridiculous for $159/day. Get more lifts running! 😤 #SkiFail",156,67,34,negative,#SkiFail,
1004,2025-12-01 12:30:00,@foodie_slopes,Amanda Chen,"Hot chocolate at the Summit Lodge might be the best I've ever had. Perfect après-ski vibes! ☕🏔️ #ApresSkii",312,52,18,positive,#ApresSki,
1005,2025-12-01 14:20:00,@weekend_warrior_dan,Dan Roberts,"Solid Saturday at @SkiResortCO. Blue runs were perfectly groomed. Rentals were quick too. 8/10 would recommend!",98,15,4,positive,,@SkiResortCO
1006,2025-12-02 07:45:00,@local_shredder,Tommy Peaks,"POWDER ALERT! 🚨 8 inches overnight. Summit Express and North Face are FIRING. See you out there! #ColoradoSnow",567,189,45,positive,#ColoradoSnow,
1007,2025-12-02 10:15:00,@family_ski_trip,The Johnsons,"Day 2 of our family trip! Bunny Hill was perfect for the kids. Staff helped our 5yo so patiently. Love this place! ❤️🎿",234,41,15,positive,,
1008,2025-12-02 13:00:00,@rental_nightmare,Chris Wilson,"Waited 1.5 HOURS for rental equipment. Understaffed and disorganized. My kids were in tears. Never again. 👎",423,156,89,negative,,
1009,2025-12-02 15:30:00,@terrain_park_kid,Jake ""Airtime"" Miller,"New terrain park features are SICK! 🤙 Hit the medium kicker 12 times today. @SkiResortCO nailed it this year!",445,78,23,positive,,@SkiResortCO
1010,2025-12-03 09:00:00,@exec_skier,Sarah Goldman,"Corporate retreat at @SkiResortCO was perfect. Private lessons, group lunch at Summit Lodge, everyone had a blast. Great team building! 💼⛷️",178,34,7,positive,,@SkiResortCO
1011,2025-12-03 11:30:00,@beginner_blues,Mike Newbie,"Just learned to pizza and french fry! 🍕🍟 The instructors made it so fun. Can't wait to hit the blue runs tomorrow!",156,22,9,positive,,
1012,2025-12-03 14:45:00,@locals_only_ski,Brett Colorado,"Tuesday morning locals secret: North Face has the best snow and NO CROWDS. Shhh don't tell the tourists 🤫 #LocalsOnly",289,45,12,positive,#LocalsOnly,
1013,2025-12-04 08:30:00,@ski_patrol_fan,Emergency Response,"Huge shoutout to @SkiResortCO ski patrol! They helped my friend who took a bad fall. Professional and quick response. True heroes! 🏥❤️",512,134,28,positive,,@SkiResortCO
1014,2025-12-04 10:00:00,@price_complaint,Budget Bob,"$159 for a day ticket?! 💸 Used to be $80 five years ago. Pricing families out of the sport. Not cool. #SkiPrices",678,234,156,negative,#SkiPrices,
1015,2025-12-04 12:15:00,@apres_queen,Lisa Après,"The new craft beer selection at Base Lodge Bar is 🔥! Local brews + mountain views = perfect afternoon. #ColoradoBeer",234,38,11,positive,#ColoradoBeer,
1016,2025-12-05 07:00:00,@dawn_patrol_dave,Dave Early,"First chair gang! 🌅 Beat the crowds, get the goods. Summit Express at 8am is the move. @SkiResortCO",312,67,14,positive,,@SkiResortCO
1017,2025-12-05 09:45:00,@frustrated_parker,Parking Pete,"Drove 2 hours to find FULL parking lot at 9am. Had to park in overflow 20min walk away. Need better solutions! 🚗😡",345,123,67,negative,,
1018,2025-12-05 11:30:00,@mountain_photo,Alex Captures,"Caught this epic shot from the Summit! 📸 Colorado never disappoints. @SkiResortCO you're beautiful! #MountainViews",789,234,45,positive,#MountainViews,@SkiResortCO
1019,2025-12-05 13:45:00,@gluten_free_skier,Emma Dietary,"Finally a ski resort with GOOD gluten-free options! 🙌 The GF pasta at Mid-Mountain was actually delicious. Thank you!",267,56,19,positive,,
1020,2025-12-06 08:15:00,@saturday_chaos,Weekend Warrior,"Saturday morning = chaos. Every lift line is 20+ minutes. I pay for season pass to ski, not wait. 😤 #WeekendWoes",234,89,45,negative,#WeekendWoes,
1021,2025-12-06 10:30:00,@kids_first_time,Proud Dad Pete,"My daughter just skied her first blue run! 🎉 The confidence she got from ski school is amazing. Best investment ever!",456,78,23,positive,,
1022,2025-12-06 12:00:00,@hangry_skier,Lunch Rush Lucy,"$22 for a mediocre burger at Summit Lodge. Highway robbery. Bring your own lunch, folks. 🍔💰",345,112,56,negative,,
1023,2025-12-06 14:30:00,@season_pass_love,Pass Holder Paula,"Just hit my 15th day this season! Season pass already paid for itself. Best decision I made this year! 🎿💚",289,45,12,positive,,
1024,2025-12-07 09:00:00,@sunday_funday,Sunday Steve,"Beautiful bluebird day at @SkiResortCO! ☀️⛷️ Crowds cleared out by 2pm. Perfect spring-like conditions. #SundayFunday",234,56,9,positive,#SundayFunday,@SkiResortCO
1025,2025-12-07 11:15:00,@equipment_fail,Broken Bindings Bob,"Rental bindings broke on my second run. Could have been seriously hurt! Staff apologized but that's not enough. 🤕",456,167,89,negative,,
1026,2025-12-07 13:30:00,@group_trip_goals,Bachelorette Babes,"Girls trip to @SkiResortCO was EVERYTHING! 👯‍♀️ Group lessons, spa, and too much wine. Best weekend ever! #GirlsTrip",567,123,34,positive,#GirlsTrip,@SkiResortCO
1027,2025-12-08 08:45:00,@powder_tracker,Fresh Tracks Fran,"Checked the @SkiResortCO app - 6 inches overnight! 🌨️ Calling in sick to work. Sorry not sorry! #PowderDay",678,234,67,positive,#PowderDay,@SkiResortCO
1028,2025-12-08 10:30:00,@complaint_king,Always Upset Andy,"WiFi doesn't work in the lodge. Can't even check conditions. It's 2025, figure it out! 📶❌",123,34,23,negative,,
1029,2025-12-08 12:45:00,@hot_cocoa_fan,Cocoa Connoisseur,"The Summit Lodge hot cocoa with extra whipped cream is my happy place. ☕❤️ Been getting it for 10 years!",234,45,8,positive,,
1030,2025-12-08 15:00:00,@sunset_skier,Golden Hour Gary,"Last run of the day with this sunset! 🌅 @SkiResortCO you never disappoint. See you tomorrow! #SunsetSkiing",456,89,18,positive,#SunsetSkiing,@SkiResortCO
1031,2025-12-09 07:30:00,@early_bird,First Chair Frieda,"Empty mountain at 8am on a Monday. This is why I work remote! 💻⛷️ Living the dream at @SkiResortCO",345,67,15,positive,,@SkiResortCO
1032,2025-12-09 09:45:00,@lift_tech_issues,Stuck on Lift Sam,"Been stuck on Summit Express for 20 minutes. No communication from staff. This is unacceptable! 🥶",234,89,56,negative,,
1033,2025-12-09 11:30:00,@instructor_fan,Grateful Gabby,"Shoutout to instructor Maria! She got my nervous teen down her first black diamond. Heroes don't always wear capes! 🦸‍♀️",289,56,12,positive,,
1034,2025-12-09 14:00:00,@spring_conditions,Slush Puppy Pete,"Afternoon ice on the groomers. Morning only if you want good snow. #SpringSkiingEarly",178,34,8,neutral,#SpringSkiingEarly,
1035,2025-12-10 08:00:00,@december_magic,Holiday Hype Hannah,"Holiday decorations up at @SkiResortCO! 🎄⛷️ Nothing beats skiing past Christmas trees. Magic! #HolidaySkiing",567,145,34,positive,#HolidaySkiing,@SkiResortCO
1036,2025-12-10 10:15:00,@real_talk_ski,Honest Henry,"Real talk: @SkiResortCO is expensive but worth it. Lifts are fast, terrain is varied, staff is friendly. You get what you pay for.",234,67,23,positive,,@SkiResortCO
1037,2025-12-10 12:30:00,@veggie_skier,Plant Based Pam,"More plant-based options please! 🌱 The salad bar is sad. Other resorts do better. Step it up!",156,45,34,negative,,
1038,2025-12-10 14:45:00,@multi_gen_trip,Three Generations,"Grandpa (78), me (45), and son (12) all skiing together! 👨‍👩‍👦‍👦 @SkiResortCO has terrain for everyone. Making memories!",678,178,45,positive,,@SkiResortCO
1039,2025-12-10 16:00:00,@end_of_day,Happy Camper Carl,"Another perfect day in the books! Zero complaints. Great snow, great vibes, great people. See you tomorrow @SkiResortCO! 🎿❤️",345,78,12,positive,,@SkiResortCO
1040,2025-12-10 18:30:00,@apres_review,Bar Rating Betty,"Rating the bars: Summit Lodge 8/10, Base Lodge 7/10, Mid-Mountain 9/10 (best views!). All solid for après! 🍺 #ApresSki",289,56,23,positive,#ApresSki,
